AÑO,MES,UBIGEO_HECHO,DPTO_HECHO,PROV_HECHO,DIST_HECHO,SEXO,RANGO_EDAD,NACIONALIDAD,CANTIDAD
2019,5,150137,LIMA METROPOLITANA,LIMA,SANTA ANITA,M,18-29 AÑOS,PERÚ,1
2021,1,80201,CUSCO,ACOMAYO,ACOMAYO,F,12-17 AÑOS,PERÚ,1
2024,5,21801,ÁNCASH,SANTA,CHIMBOTE,F,18-29 AÑOS,PERÚ,2
2024,2,210901,PUNO,MOHO,MOHO,F,12-17 AÑOS,PERÚ,1
2019,1,50509,AYACUCHO,LA MAR,PALMAPAMPA,F,12-17 AÑOS,PERÚ,1
2021,11,130205,LA LIBERTAD,ASCOPE,PAIJAN,M,30-59 AÑOS,PERÚ,2
2022,1,100507,HUÁNUCO,HUAMALIES,MONZON,F,12-17 AÑOS,PERÚ,1
2024,3,81104,CUSCO,PAUCARTAMBO,COLQUEPATA,M,12-17 AÑOS,PERÚ,1
2022,1,150111,LIMA METROPOLITANA,LIMA,EL AGUSTINO,M,6-11 AÑOS,ARGENTINA,1
2025,5,80105,CUSCO,CUSCO,SAN SEBASTIAN,M,30-59 AÑOS,MEXICO,1
2023,3,150112,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,M,60 A MAS AÑOS,PERÚ,3
